"code","name","city","country"
"JFK","John F Kennedy International","New York","USA"
"LGA","LaGuardia","New York","USA"
"LHR","London Heathrow","London","UK"
"NRT","Narita International","Tokyo","Japan"
"FLR","Amerigo-Vespucci","Florence","Italy"
"LAX","Los Angeles International","Los Angeles","USA"
"CDG","Charles de Gaulle","Paris","France"
"SIN","Singapore Changi","Changi","Singapore"
"ORD","O'Hare International","Chicago","USA"
"YY","Life Philosophy","So close","EntireLife"
"WI","Wonderland International","Far Away","Childhood"
